country_iso3,AI_LIT_001,AI_LIT_002,AI_LIT_004,AI_LIT_005,META_COG_001,META_COG_002,META_COG_003,DEC_AGY_001,DEC_AGY_002,DEC_AGY_003,DEC_AGY_004,DEC_AGY_005,ENAB_001,ENAB_002,ENAB_003,ENAB_004,ENAB_005
FIN,0.844499618787425,0.9527116391878283,0.8846153846153846,0.9487179487179487,0.9696211995917143,0.9974349522316127,1.0,0.8751129186954181,0.9381758572323868,0.834254143646409,0.9055118110236222,0.9999999999999996,0.8314917127071819,0.6808510638297873,0.8588235294117652,0.6604938271604937,0.729166666666667
FRA,0.5217777518618348,0.36224954574416063,0.47435897435897434,0.5641025641025641,0.43441229037230034,0.5452362052082185,0.6969696969696968,0.4735073705481125,0.6573691928766948,0.6629834254143656,0.6338582677165356,0.8035714285714284,0.5322283609576424,0.4893617021276597,0.670588235294117,0.6604938271604937,0.604166666666667
GBR,0.6929699758217529,0.44966942964390977,0.5256410256410257,0.38461538461538464,0.7430869450915156,0.8915111716158879,0.8303030303030305,0.6571795782574493,0.7646753010757581,0.8121546961325974,0.7480314960629921,0.59375,0.902394106813996,0.6808510638297873,0.8705882352941181,0.7407407407407405,0.46527777777777857
GRC,0.11978510969928813,0.10971772363071985,0.5256410256410257,0.20512820512820512,0.03437614725058149,0.1331524748900232,0.3636363636363633,0.1565055930978766,0.06317281544163042,0.24861878453038688,0.22834645669291342,0.3839285714285712,0.10589318600368358,0.25531914893617014,0.09411764705882497,0.2901234567901234,0.4375
HKG,0.8500834204685264,0.8678445411298172,1.0,0.6538461538461539,0.8415370831850686,0.4312764289764601,0.5575757575757572,0.05502525890239817,0.21086161275484389,0.19889502762430933,0.0,0.026785714285714413,0.874769797421731,0.5106382978723403,0.6588235294117659,0.8703703703703702,0.7986111111111107
HUN,0.30383956152408337,0.2301174910482366,0.07692307692307693,0.28205128205128205,0.19723030690065552,0.08911355958861916,0.47878787878787854,0.03962588470486074,0.056544529681724784,0.22651933701657434,0.26771653543307083,0.0,0.4742173112338861,0.08510638297872308,0.12941176470588367,0.40740740740740744,0.3125
IRL,0.7983164282728844,0.6896581651587943,0.8076923076923077,0.6153846153846154,0.7118726309120887,0.5963767734116352,0.751515151515151,0.775835328680427,0.586805617979377,0.8508287292817682,0.4448818897637796,0.5669642857142856,0.8931860036832413,0.7234042553191493,0.7647058823529402,0.716049382716049,0.6111111111111107
ISL,0.4557874502693611,0.5021187425478677,0.358974358974359,0.7435897435897436,0.8024348575225667,0.6361760772471876,0.7878787878787876,0.8094881556092588,0.9150113715641937,0.8397790055248624,0.5944881889763778,0.6205357142857144,0.6712707182320443,0.5957446808510642,0.8705882352941181,0.8271604938271606,0.604166666666667
ISR,0.4185049065719457,0.5508082311945985,0.7051282051282052,0.6923076923076923,0.7520959160377872,0.4312764289764601,0.7151515151515149,0.3812982109712519,0.43936428794683124,0.5359116022099455,0.27952755905511806,0.375,0.874769797421731,0.39716312056737557,0.8352941176470594,0.6049382716049383,0.5902777777777777
ITA,0.24855077816834792,0.17702651279908466,0.2692307692307692,0.47435897435897434,0.2445602472861662,0.27751802311876017,0.606060606060606,0.23146298247398034,0.29996618551458076,0.4088397790055245,0.3188976377952759,0.3303571428571428,0.44383057090239486,0.48226950354609954,0.5294117647058822,0.5617283950617287,0.5902777777777777
JPN,0.774211557758265,0.8553755879809356,0.9487179487179487,0.717948717948718,0.843799779277274,0.6931048844742072,0.6303030303030299,0.8398447798195786,0.4910603084796794,0.5469613259668513,0.6338582677165356,0.839285714285714,0.9125230202578267,0.75177304964539,0.9058823529411768,0.7469135802469138,0.625
KOR,0.9553840831971688,0.8776529855429317,0.47435897435897434,0.9743589743589743,0.7021711724502804,0.8475664859520409,0.5757575757575757,0.53610348390553,0.6083890986836064,0.6187845303867414,0.4527559055118111,0.745535714285714,0.8904235727440142,0.7872340425531918,0.9529411764705884,0.8456790123456788,0.8194444444444446
LTU,0.4981842913365962,0.36578513568421994,0.6282051282051282,0.11538461538461539,0.09792126885168179,0.21220805846118102,0.5696969696969694,0.3517455998406993,0.13144973172547852,0.4585635359116029,0.21259842519685046,0.5892857142857144,0.44106813996316774,0.2978723404255321,0.25882352941176556,0.3518518518518521,0.38194444444444464
LUX,0.7634019208920617,0.5693728489122052,0.4358974358974359,0.4230769230769231,0.5908631177894369,0.5760668824499648,0.43636363636363606,0.8199779765481445,0.8227710257845987,0.806629834254144,0.7913385826771657,0.9419642857142856,0.778084714548803,0.6170212765957448,0.8352941176470594,0.6543209876543212,0.5625
LVA,0.11512238453744394,0.30086333703683177,0.7051282051282052,0.28205128205128205,0.41966018228585417,0.19740651345713878,0.6363636363636362,0.4423573958182804,0.33983159189748546,0.35359116022099446,0.3070866141732287,0.6651785714285712,0.4567219152854518,0.32624113475177285,0.235294117647058,0.26543209876543283,0.4861111111111116
